,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Runtime Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,LineCoverage,BranchCoverage,MutationScore,TestSuiteSize,TsDDTestability
34,L208,ApplyFormatPlugin,accessories.plugins.ApplyFormatPlugin,L105,L103,/home/qualcode/Disk500/benchmarks/testability/SF110-20130704-src/105_freemind/src/main/java/accessories/plugins/ApplyFormatPlugin.java,41,1,71,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,4,8,1,1,12,14,0.666667,0.25,8,6,2,1,0.25,8,4,5,0,0,1,24,31,8,9,0,0,2,0,2,0,25,13,0,19,6,24,31,8,9,0,0,2,0,2,0,25,13,0,19,6,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0.2,0.0,1.0,0.0
35,L223,AutomaticLayout,accessories.plugins.AutomaticLayout,L105,L103,/home/qualcode/Disk500/benchmarks/testability/SF110-20130704-src/105_freemind/src/main/java/accessories/plugins/AutomaticLayout.java,69,1,466,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,13,9,3,2,15,24,1.0,0.380435,35,34,6,0,0.167164,56,5,7,0,0,1,57,119,11,9,2,0,9,0,5,2,54,31,1,38,10,279,398,31,21,21,10,36,0,29,6,89,130,1,68,14,0,0,94,1,24,0,0,4,0,0,0,0,0,0,10,0,0,2,82,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,4,0,0,9,0,0,0,1,0,0.562,0.616,0.45,25.0,0.49821801263019844
36,L304,BlinkingNodeHook,accessories.plugins.BlinkingNodeHook,L105,L103,/home/qualcode/Disk500/benchmarks/testability/SF110-20130704-src/105_freemind/src/main/java/accessories/plugins/BlinkingNodeHook.java,41,1,122,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,5,3,3,6,9,1.0,0.5,21,21,4,0,0.285714,22,5,7,0,0,1,21,44,11,9,2,0,3,0,3,0,48,10,1,36,8,55,82,11,9,2,0,7,0,6,0,52,29,1,39,8,0,0,20,1,7,0,0,2,0,0,0,0,0,0,2,0,0,1,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0.462,0.3,0.379,3.0,0.22470810147599032
37,L328,ChangeNodeLevelAction,accessories.plugins.ChangeNodeLevelAction,L105,L103,/home/qualcode/Disk500/benchmarks/testability/SF110-20130704-src/105_freemind/src/main/java/accessories/plugins/ChangeNodeLevelAction.java,41,1,186,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,20,10,1,1,23,26,1.0,0.208633,29,12,3,0,0.208633,29,4,5,0,0,1,110,146,8,9,0,0,3,0,2,0,26,76,0,19,6,110,146,8,9,0,0,3,0,2,0,26,76,0,19,6,0,0,12,0,2,0,0,0,0,0,0,0,0,3,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0.035,0.023,0.0,1.0,0.0
38,L340,ChangeRootNode,accessories.plugins.ChangeRootNode,L105,L103,/home/qualcode/Disk500/benchmarks/testability/SF110-20130704-src/105_freemind/src/main/java/accessories/plugins/ChangeRootNode.java,55,1,198,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,5,1,1,6,8,0.5,0.464286,13,12,1,1,0.38806,52,4,5,0,0,1,15,27,9,10,1,1,2,0,1,0,25,6,0,18,6,82,144,12,11,4,2,8,0,7,0,31,48,0,24,6,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.105,0.13,0.0,2.0,0.0
39,L357,ClonePasteAction,accessories.plugins.ClonePasteAction,L105,L103,/home/qualcode/Disk500/benchmarks/testability/SF110-20130704-src/105_freemind/src/main/java/accessories/plugins/ClonePasteAction.java,49,1,287,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,29,11,4,8,19,26,0.25,0.158228,25,8,2,6,0.134529,30,4,5,0,0,1,133,162,8,12,0,3,7,0,7,0,30,91,0,24,6,193,239,13,14,5,5,15,0,15,0,38,121,0,32,6,0,1,41,6,19,0,1,1,0,0,0,1,0,3,1,4,0,6,32,1,0,0,1,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,1,0,4,1,0,0.107,0.07200000000000001,0.028999999999999998,8.2,0.0487811204413553
40,L371,ClonePlugin,accessories.plugins.ClonePlugin,L105,L103,/home/qualcode/Disk500/benchmarks/testability/SF110-20130704-src/105_freemind/src/main/java/accessories/plugins/ClonePlugin.java,51,1,536,2,0.0,0,0,0,0.0,0.0,0,0,6,5,5,89,23,7,22,46,78,0.166667,0.196903,89,41,3,15,0.196903,89,5,10,0,0,4,363,486,18,13,9,4,32,1,17,0,77,211,2,50,8,363,486,18,13,9,4,32,1,17,0,77,211,2,50,8,0,2,76,4,28,0,3,4,0,0,0,1,0,3,3,4,0,7,55,2,0,1,2,0,0,0,6,0,0,0,0,0,0,0,7,0,0,11,1,0,2,0,0,0.20800000000000002,0.222,0.138,23.6,0.1709111919240987
41,L478,CreationModificationPlugin,accessories.plugins.CreationModificationPlugin,L105,L103,/home/qualcode/Disk500/benchmarks/testability/SF110-20130704-src/105_freemind/src/main/java/accessories/plugins/CreationModificationPlugin.java,36,1,137,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,13,6,1,6,15,25,0.625,0.397849,37,36,5,3,0.397849,37,5,7,0,0,1,56,102,10,9,1,0,10,0,7,2,55,29,1,40,10,56,102,10,9,1,0,10,0,7,2,55,29,1,40,10,0,0,12,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.381,0.5379999999999999,0.3,6.0,0.2960311634959238
42,L1486,EncryptNode,accessories.plugins.EncryptNode,L105,L103,/home/qualcode/Disk500/benchmarks/testability/SF110-20130704-src/105_freemind/src/main/java/accessories/plugins/EncryptNode.java,51,1,268,2,0.0,0,0,0,0.0,0.0,0,0,1,3,2,19,15,1,1,30,37,0.666667,0.188811,27,18,2,1,0.239234,50,4,5,0,0,1,116,152,8,10,0,1,7,0,2,0,30,61,0,19,6,159,218,12,10,4,1,12,0,7,0,35,81,0,24,6,0,5,31,4,4,0,1,1,0,0,0,0,0,0,1,3,0,5,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0.08,0.053,0.026000000000000002,2.0,0.023974509974062225
43,L1501,ExportToImage,accessories.plugins.ExportToImage,L105,L103,/home/qualcode/Disk500/benchmarks/testability/SF110-20130704-src/105_freemind/src/main/java/accessories/plugins/ExportToImage.java,48,1,127,2,0.433498,1,2,1,0.35,0.38,28,19,1,1,1,8,5,1,1,10,14,0.8,0.350649,27,17,4,1,0.350649,27,4,5,0,0,1,50,80,6,7,0,0,4,0,4,0,24,29,0,17,4,50,80,6,7,0,0,4,0,4,0,24,29,0,17,4,0,0,13,1,2,0,1,0,0,12,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.382,0.33299999999999996,0.278,4.0,0.21882295159588586
